model,condition,top1_accuracy,cluster_accuracy,cluster_top3_accuracy,cluster_gain,cluster_top3_gain,unknown_rate,n_examples
flan_t5_base,few_shot,0.26903553299492383,0.27411167512690354,0.3401015228426396,0.005076142131979711,0.07106598984771578,0.3604060913705584,197
flan_t5_base,guided,0.19796954314720813,0.19796954314720813,0.3299492385786802,0.0,0.13197969543147206,0.0,197
flan_t5_base,zero_shot,0.18274111675126903,0.2131979695431472,0.3197969543147208,0.03045685279187818,0.1370558375634518,0.0,197
flan_t5_large,few_shot,0.5989847715736041,0.6751269035532995,0.6700507614213198,0.07614213197969544,0.07106598984771573,0.03553299492385787,197
flan_t5_large,guided,0.5989847715736041,0.6091370558375635,0.5989847715736041,0.010152284263959421,0.0,0.0,197
flan_t5_large,zero_shot,0.5025380710659898,0.5634517766497462,0.5583756345177665,0.06091370558375642,0.055837563451776706,0.01015228426395939,197
flan_t5_small,few_shot,0.050761421319796954,0.050761421319796954,0.05583756345177665,0.0,0.005076142131979697,0.5329949238578681,197
flan_t5_small,guided,0.050761421319796954,0.050761421319796954,0.050761421319796954,0.0,0.0,0.6903553299492385,197
flan_t5_small,zero_shot,0.025380710659898477,0.025380710659898477,0.025380710659898477,0.0,0.0,0.9289340101522843,197
