model,condition,gold_frame,total,correct,accuracy
flan_t5_small,zero_shot,Abounding_with,10,0,0.0
flan_t5_small,zero_shot,Absorb_heat,10,0,0.0
flan_t5_small,zero_shot,Abundance,10,0,0.0
flan_t5_small,zero_shot,Abusing,10,0,0.0
flan_t5_small,zero_shot,Accompaniment,10,0,0.0
flan_t5_small,zero_shot,Accomplishment,10,0,0.0
flan_t5_small,zero_shot,Accoutrements,10,0,0.0
flan_t5_small,zero_shot,Accuracy,10,0,0.0
flan_t5_small,zero_shot,Achieving_first,10,0,0.0
flan_t5_small,zero_shot,Active_substance,10,0,0.0
flan_t5_small,zero_shot,Activity_done_state,7,0,0.0
flan_t5_small,zero_shot,Activity_finish,10,0,0.0
flan_t5_small,zero_shot,Activity_ongoing,10,0,0.0
flan_t5_small,zero_shot,Activity_pause,10,0,0.0
flan_t5_small,zero_shot,Activity_prepare,10,0,0.0
flan_t5_small,zero_shot,Activity_ready_state,10,0,0.0
flan_t5_small,zero_shot,Activity_resume,10,0,0.0
flan_t5_small,zero_shot,Activity_start,10,0,0.0
flan_t5_small,zero_shot,Activity_stop,10,0,0.0
