run_id,timestamp,model,condition,accuracy,precision_macro,recall_macro,f1_macro,cluster_accuracy,cluster_top3_accuracy,cluster_gain,cluster_top3_gain,unknown_rate,n_examples,hard_negative_error_rate,ambiguous_accuracy,long_context_accuracy,ambiguous_examples,long_context_examples
41b6a4fc,2026-05-24 11:32:19,flan_t5_base,few_shot,0.2690355329949238,0.2208148993863279,0.2523809523809524,0.1983710946844587,0.2741116751269035,0.3350253807106599,0.0050761421319797,0.065989847715736,0.3604060913705584,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_base,guided,0.1979695431472081,0.1809027777777777,0.195,0.1535014005602241,0.1979695431472081,0.3299492385786802,0.0,0.131979695431472,0.0,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_base,zero_shot,0.182741116751269,0.1946740759240759,0.18,0.1439720570868111,0.2131979695431472,0.3197969543147208,0.0304568527918781,0.1370558375634518,0.0,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_large,few_shot,0.5989847715736041,0.6262477718360072,0.5680272108843538,0.542616863373166,0.6751269035532995,0.6700507614213198,0.0761421319796954,0.0710659898477157,0.0355329949238578,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_large,guided,0.5989847715736041,0.5427569392348087,0.5900000000000001,0.5284514117199595,0.6091370558375635,0.5989847715736041,0.0101522842639594,0.0,0.0,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_large,zero_shot,0.5025380710659898,0.5590976388077837,0.4734693877551021,0.4429066180618976,0.5634517766497462,0.5583756345177665,0.0609137055837564,0.0558375634517767,0.0101522842639593,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_small,few_shot,0.0507614213197969,0.005175983436853,0.0476190476190476,0.0093370681605975,0.0507614213197969,0.0558375634517766,0.0,0.0050761421319796,0.5329949238578681,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_small,guided,0.0507614213197969,0.0526315789473684,0.0476190476190476,0.0357396690019291,0.0507614213197969,0.0507614213197969,0.0,0.0,0.6903553299492385,197,,,,,
41b6a4fc,2026-05-24 11:32:19,flan_t5_small,zero_shot,0.0253807106598984,0.0170068027210884,0.0238095238095238,0.0198412698412698,0.0253807106598984,0.0253807106598984,0.0,0.0,0.9289340101522844,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_base,few_shot,0.2690355329949238,0.2208148993863279,0.2523809523809524,0.1983710946844587,0.2741116751269035,0.3401015228426396,0.0050761421319797,0.0710659898477157,0.3604060913705584,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_base,guided,0.1979695431472081,0.1809027777777777,0.195,0.1535014005602241,0.1979695431472081,0.3299492385786802,0.0,0.131979695431472,0.0,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_base,zero_shot,0.182741116751269,0.1946740759240759,0.18,0.1439720570868111,0.2131979695431472,0.3197969543147208,0.0304568527918781,0.1370558375634518,0.0,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_large,few_shot,0.5989847715736041,0.6262477718360072,0.5680272108843538,0.542616863373166,0.6751269035532995,0.6700507614213198,0.0761421319796954,0.0710659898477157,0.0355329949238578,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_large,guided,0.5989847715736041,0.5427569392348087,0.5900000000000001,0.5284514117199595,0.6091370558375635,0.5989847715736041,0.0101522842639594,0.0,0.0,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_large,zero_shot,0.5025380710659898,0.5590976388077837,0.4734693877551021,0.4429066180618976,0.5634517766497462,0.5583756345177665,0.0609137055837564,0.0558375634517767,0.0101522842639593,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_small,few_shot,0.0507614213197969,0.005175983436853,0.0476190476190476,0.0093370681605975,0.0507614213197969,0.0558375634517766,0.0,0.0050761421319796,0.5329949238578681,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_small,guided,0.0507614213197969,0.0526315789473684,0.0476190476190476,0.0357396690019291,0.0507614213197969,0.0507614213197969,0.0,0.0,0.6903553299492385,197,,,,,
c2ff5350,2026-05-24 12:43:25,flan_t5_small,zero_shot,0.0253807106598984,0.0170068027210884,0.0238095238095238,0.0198412698412698,0.0253807106598984,0.0253807106598984,0.0,0.0,0.9289340101522844,197,,,,,
eb760477,2026-05-24 17:55:58,flan_t5_base,few_shot,0.1890756302521008,0.2094277906051474,0.1785478547854785,0.1779687619253421,0.2258403361344537,0.1932773109243697,0.0367647058823529,0.0042016806722689,0.7184873949579832,952,0.0,0.0973451327433628,0.2081218274111675,339.0,591.0
eb760477,2026-05-24 17:55:58,flan_t5_base,guided,0.1817226890756302,0.2400855784031697,0.182095709570957,0.1765257842873612,0.532563025210084,0.2048319327731092,0.3508403361344537,0.0231092436974789,0.065126050420168,952,0.0115546218487394,0.1415929203539823,0.2047377326565143,339.0,591.0
eb760477,2026-05-24 17:55:58,flan_t5_base,zero_shot,0.0640756302521008,0.0495621345319009,0.0603960396039603,0.046655755801144,0.3707983193277311,0.0850840336134453,0.3067226890756303,0.0210084033613445,0.3098739495798319,952,0.0,0.0412979351032448,0.0642978003384094,339.0,591.0
eb760477,2026-05-24 17:55:58,flan_t5_large,few_shot,0.4632352941176471,0.4534755233465565,0.4439415370108439,0.4038197245810574,0.6848739495798319,0.5031512605042017,0.2216386554621848,0.0399159663865545,0.1239495798319327,952,0.0210084033613445,0.3215339233038348,0.4331641285956006,339.0,591.0
